name,type,category,power,accuracy,pp,priority,method,level,description,megaLauncherBoosted,source
Tackle,Normal,Physical,40,100,35,0,Level up,1,Deals damage without an additional effect.,False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Harden,Normal,Status,,,30,0,Level up,1,Raises the user's Defense by one stage.,False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Struggle Bug,Bug,Special,50,100,20,0,Level up,4,Lowers each hit foe's Special Attack by one stage.,False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Acid,Poison,Special,40,100,30,0,Level up,8,Hits adjacent foes; each has a 10% chance of losing one Special Defense stage.,False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Dragon Breath,Dragon,Special,60,100,20,0,Level up,12,Has a 30% chance to paralyze the target.,False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Protect,Normal,Status,,,10,4,Level up,16,Blocks most incoming moves this turn. Repeated consecutive protection attempts become less likely to succeed.,False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Acid Spray,Poison,Special,40,100,20,0,Level up,20,Lowers the hit target's Special Defense by two stages. Steel-type immunity prevents the effect.,False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Iron Defense,Steel,Status,,,15,0,Level up,24,Raises the user's Defense by two stages.,False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Water Pulse,Water,Special,60,100,20,0,Level up,28,Has a 20% chance to confuse the target. Mega Launcher boosts its power.,True,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
Scary Face,Normal,Status,,100,10,0,Level up,32,Lowers the target's Speed by two stages.,False,https://github.com/smogon/pokemon-showdown/blob/524413e8415fe179781e9bbcc7c79a85543b3409/data/moves.ts
